,BU,Machine_Type,Serial_number,Unused_machines_J1,Unused_machines_UNP,Unused_machines_PL,OEE,OEE-J1,OEE-J1-H1-G+G6,Availability,Performance,Planned_Downtime%,Unplanned_Downtime%,Performance_losses,Batch_size,Setuptime/min,Waitingtime/min,Quantity/h,Quantity,Avg_length/mm,ShiftTime/h,Netto_StandardTime/h,Downtime/h,Dw_J1,Planned_Downtime/h,Unplanned_Downtime/h,Urgent_Orders(A16)%,Disciplinary_responsible_vs_Shifthours,Not_disciplinary_responsible_vs_Shifthours,No_Orders,Scrap/m,Scrap%,Avg_No_Machines,Somme de Dw_B,shift,Day,Month,Year,Date
0,BU 1,Machine 1,8492371,0.0,0.18,0.27,31.77,31.79,32.04,58.98,53.87,23.28,17.74,27.21,421,5.26,2.68,684,5475,1381.83,8.0,2.54,3.28,0.01,1.86,1.42,0.0,9.51,16.44,13,0.0,0.00,4.0,0.132501,1,7,7,2017,2017-07-07
1,BU 1,Machine 1,5816492,0.05,0.29,0.32,28.73,30.24,30.31,60.78,47.28,10.72,28.5,32.04,342,2.75,3.5,642,5135,1210.08,8.0,2.3,3.14,0.4,0.86,2.28,0.0,19.16,6.27,15,9.03,0.19,4.0,0.656943,1,7,7,2017,2017-07-07
2,BU 1,Machine 1,0923745,0.0,0.09,0.36,26.41,26.41,26.48,62.77,42.07,28.03,9.19,36.36,208,5.81,1.23,493,3946,1679.79,8.0,2.11,2.98,0.0,2.24,0.74,0.0,7.2,6.77,19,0.0,0.00,4.0,0.026389,1,7,7,2017,2017-07-07
3,BU 1,Machine 1,7618349,0.0,0.03,0.2,44.92,44.92,47.85,65.11,69.0,31.45,3.44,20.19,331,4.57,0.33,870,6961,1530.95,8.0,3.59,2.79,0.0,2.52,0.27,0.0,1.75,7.03,21,2.135,0.01,4.0,0.023055,1,7,7,2017,2017-07-07
4,BU 1,Machine 2,2359173,0.0,0.17,0.28,29.33,29.42,29.45,57.26,51.22,25.3,17.44,27.93,623,10.65,3.35,856,6850,689.96,8.0,2.35,3.42,0.03,2.02,1.4,0.0,9.76,8.17,11,0.45,0.01,1.0,0.166944,1,7,7,2017,2017-07-07
5,BU 2,Machine 1,1903845,0.03,0.24,0.26,16.59,17.13,19.89,42.3,39.21,34.06,23.65,25.71,444,11.28,0.23,554,4435,1751.25,8.0,1.33,4.62,0.25,2.72,1.89,10.0,15.96,2.95,10,100.25,1.44,1.0,1.238058,1,7,7,2017,2017-07-07
6,BU 2,Machine 3,093K8347,0.01,0.14,0.17,38.7,38.98,41.27,55.85,69.29,30.15,14.0,17.15,261,11.5,3.58,294,2348,1731.13,8.0,3.1,3.53,0.06,2.41,1.12,0.0,7.1,9.27,9,3.61,0.04,5.0,0.031111,1,7,7,2017,2017-07-07
7,BU 2,Machine 3,573N6493,0.0,0.09,0.17,43.01,43.08,43.9,60.07,71.59,30.79,9.14,17.07,507,34.37,2.84,190,1522,5015.48,8.0,3.44,3.19,0.01,2.46,0.73,0.0,7.09,9.31,3,4.73,0.07,5.0,0.0375,1,7,7,2017,2017-07-07
8,BU 2,Machine 3,029P3751,0.0,0.02,0.37,54.45,54.45,54.53,91.29,59.64,7.0,1.71,36.84,783,7.97,1.61,294,2350,3003.11,8.0,4.36,0.7,0.0,0.56,0.14,33.33,1.55,2.02,3,1.18,0.04,5.0,0.0,1,7,7,2017,2017-07-07
9,BU 2,Machine 3,182L4692,0.19,0.27,0.12,54.71,67.48,67.95,66.63,82.11,5.88,27.49,11.92,664,6.43,0.4,332,2654,2320.49,8.0,4.38,2.67,1.51,0.47,2.2,0.0,8.0,0.53,4,2.54,0.04,5.0,0.410831,1,7,7,2017,2017-07-07
